date,category,vaccination,units
22-11-2022,15-18 Age 2nd Dose,"5,34,62,813",vaccination in absolute number
21-11-2022,18+ Age 1st Dose,"92,20,72,673",vaccination in absolute number
21-11-2022,18+ Age 24hr Vaccination,433,vaccination in absolute number
21-11-2022,18+ Age 2nd Dose,"86,47,86,212",vaccination in absolute number
21-11-2022,15-18 Age 1st Dose,"6,20,53,032",vaccination in absolute number
21-11-2022,15-18 Age 2nd Dose,"5,34,54,069",vaccination in absolute number
20-11-2022,18+ Age 1st Dose,"92,20,72,240",vaccination in absolute number
20-11-2022,18+ Age 24hr Vaccination,"3,956",vaccination in absolute number
20-11-2022,18+ Age 2nd Dose,"86,47,84,555",vaccination in absolute number
20-11-2022,15-18 Age 1st Dose,"6,20,51,993",vaccination in absolute number
20-11-2022,15-18 Age 2nd Dose,"5,34,53,166",vaccination in absolute number
19-11-2022,18+ Age 1st Dose,"92,20,68,284",vaccination in absolute number
19-11-2022,18+ Age 24hr Vaccination,"3,122",vaccination in absolute number
19-11-2022,18+ Age 2nd Dose,"86,47,69,405",vaccination in absolute number
19-11-2022,15-18 Age 1st Dose,"6,20,48,553",vaccination in absolute number
19-11-2022,15-18 Age 2nd Dose,"5,34,47,924",vaccination in absolute number
18-11-2022,18+ Age 1st Dose,"92,20,65,162",vaccination in absolute number
18-11-2022,18+ Age 24hr Vaccination,"3,539",vaccination in absolute number
18-11-2022,18+ Age 2nd Dose,"86,47,54,858",vaccination in absolute number
18-11-2022,15-18 Age 1st Dose,"6,20,45,969",vaccination in absolute number
18-11-2022,15-18 Age 2nd Dose,"5,34,41,057",vaccination in absolute number
17-11-2022,18+ Age 1st Dose,"92,20,61,623",vaccination in absolute number
17-11-2022,18+ Age 24hr Vaccination,"5,294",vaccination in absolute number
17-11-2022,18+ Age 2nd Dose,"86,47,38,333",vaccination in absolute number
17-11-2022,15-18 Age 1st Dose,"6,20,43,116",vaccination in absolute number
17-11-2022,15-18 Age 2nd Dose,"5,34,33,401",vaccination in absolute number
16-11-2022,18+ Age 1st Dose,"92,20,56,329",vaccination in absolute number
16-11-2022,18+ Age 24hr Vaccination,"3,299",vaccination in absolute number
16-11-2022,18+ Age 2nd Dose,"86,47,19,189",vaccination in absolute number
16-11-2022,15-18 Age 1st Dose,"6,20,41,024",vaccination in absolute number
16-11-2022,15-18 Age 2nd Dose,"5,34,26,087",vaccination in absolute number
15-11-2022,18+ Age 1st Dose,"92,20,53,030",vaccination in absolute number
15-11-2022,18+ Age 24hr Vaccination,"3,699",vaccination in absolute number
15-11-2022,18+ Age 2nd Dose,"86,47,04,055",vaccination in absolute number
15-11-2022,15-18 Age 1st Dose,"6,20,39,387",vaccination in absolute number
15-11-2022,15-18 Age 2nd Dose,"5,34,19,477",vaccination in absolute number
14-11-2022,18+ Age 1st Dose,"92,20,49,331",vaccination in absolute number
14-11-2022,18+ Age 24hr Vaccination,595,vaccination in absolute number
14-11-2022,18+ Age 2nd Dose,"86,46,85,353",vaccination in absolute number
14-11-2022,15-18 Age 1st Dose,"6,20,37,646",vaccination in absolute number
14-11-2022,15-18 Age 2nd Dose,"5,34,12,175",vaccination in absolute number
13-11-2022,18+ Age 1st Dose,"92,20,48,736",vaccination in absolute number
13-11-2022,18+ Age 24hr Vaccination,"3,101",vaccination in absolute number
13-11-2022,18+ Age 2nd Dose,"86,46,82,632",vaccination in absolute number
